UK100;0,01;4,11;0,2;4,87;IND;8838;FTSE100;
US100;0,01;5,3;0,2;3,77;IND;8874;NASDAQ;
US30;0,01;4,91;0,12;2,44;IND;8873;DOW JONES;
US500;0,01;5,34;0,2;3,75;IND;8839;SP500;
DE30;0,01;15,39;0,23;1,49;IND;8826;DAX;
ITA40;0,01;8,49;0,7;8,24;IND;8858;IT40;
FRA40;0,01;3,95;0,01;0,25;IND;8853;CAC40;
MEXCOMP;0,01;17,7;3,04;17,18;IND;8896;;IPCC1
BRACOMP;0,01;13,84;2,03;14,67;IND;941612;IBOVESPA;IBOV
AUS200;0,01;11,82;1,01;8,54;IND;8824;;AUS200
CHNCOMP;0,01;9,84;1,54;15,65;IND;8982;CHINA H SHARES;HCEIC1
IBEX35;0,01;7,35;0,7;9,52;IND;8828; ; 
EU50;0,01;1,68;0,22;13,10;IND;8867;EURO STOXX;EU50
KOSP200;0,01;12,77;2,03;15,90;IND;8987;SEUL;KS50
JAP225;0,01;17,7;2,03;11,47;IND;8859;NIKKEI;JP225
HKCOMP;0,01;12,47;0,89;7,14;IND;8984;HANG SENG;HK50
AUDCAD;0,01;3,14;0,28;8,92;FX;47;;
AUDCHF;0,01;6,27;0,37;5,90;FX;48;;
AUDJPY;0,01;3,14;0,31;9,87;FX;49;;
AUDNZD;0,01;3,14;0,54;17,20;FX;50;;
CADCHF;0,01;6,39;0,65;10,17;FX;14;;
CADJPY;0,01;3,2;0,38;11,88;FX;51;;
CHFJPY;0,01;8,49;0,47;5,54;FX;13;;
EURAUD;0,01;5;0,3;6,00;FX;15;;
EURUSD;0,01;5;0,06;1,20;FX;1;;
EURCAD;0,01;5;0,33;6,60;FX;16;;
EURCHF;0,01;10;0,2;2,00;FX;10;;
EURNOK;0,01;5;0,42;8,40;FX;37;;
EURNZD;0,01;5;0,63;12,60;FX;52;;
EURSEK;0,01;5;0,43;8,60;FX;61;sueca;
EURGBP;0,01;5;0,23;4,60;FX;6;;
EURJPY;0,01;5;0,16;3,20;FX;9;;
GBPAUD;0,01;5,74;0,62;10,80;FX;53;;
GBPCAD;0,01;5,74;0,24;4,18;FX;54;;
GBPCHF;0,01;11,48;0,44;3,83;FX;12;;
GBPJPY;0,01;5,74;0,37;6,45;FX;11;;
GBPUSD;0,01;5,74;0,24;4,18;FX;2;;
GBPNZD;0,01;5,74;0,68;11,85;FX;55;;
NZDCAD;0,01;2,98;0,5;16,78;FX;56;;
NZDJPY;0,01;2,98;0,35;11,74;FX;58;;
NZDUSD;0,01;2,98;0,22;7,38;FX;8;;
USDCAD;0,01;4,06;0,15;3,69;FX;7;;
USDCHF;0,01;8,11;0,17;2,10;FX;4;;
USDJPY;0,01;4,06;0,13;3,20;FX;3;;
USDMXN;0,01;4,06;0,38;9,36;FX;39;;
USDNOK;0,01;4,06;0,39;9,61;FX;59;;
USDSEK;0,01;4,06;0,4;9,85;FX;41;;
USDTRY;0,01;-;-;-;FX;18;;
USDIDX;0,01;7,26;0,12;1,65;FX;8827;dx;dólar index
SUGAR;0,01;1,68;0,45;26,79;CMD;8869;SB;
NICKEL;0,01;-;-;-;CMD;959208;NICKEL;
ZINC;0,01;-;-;-;CMD;956470;MZN;
COPPER;0,01;-;-;-;CMD;8831;HG;
NATGAS;0,01;-;-;-;CMD;8862;NG;
CORN;0,01;-;-;-;CMD;8918;ZC;
WHEAT;0,01;-;-;-;CMD;8917;ZW;
COFFE;0,01;-;-;-;CMD;8832;KC;
SOYBEAN;0,01;-;-;-;CMD;8916;ZS;
COTTON;0,01;5,07;0,85;16,77;CMD;8851;CT;
COCOA;0,01;3,03;0,85;28,05;CMD;8894;CC;
OIL.WTI;0,01;7,82;0,32;4,09;CMD;8849;CL;
BRENT;0,01;7,82;0,32;4,09;CMD;8833;LCO;
ALUMINIO;0,01;12,94;4,89;37,79;CMD;49768;MALC1;
GOLD;0,01;5,41;0,25;4,62;CMD;8830;GC;
SILVER;0,01;9,99;1,63;16,32;CMD;8836;SL;
BUND10Y;0,01;6,49;0,16;2,47;CMD;8895;FGBL;FUTUROS EURO BUND
EMISS;0,01;8,13;4,07;50,06;CMD;8848;CFI2Z8;FUTUROS EMISIONES CARBONO
TNOTE;0,01;4,92;0,33;6,71;CMD;8880;TY;FUTUROS T-NOTE
